title,id,author,editor,advisor,note,,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
,3165060,John  Carnell,,,,,,,,,,,,,,,,2017,,Spring Microservices in Action,,1st,1617293989; 9781617293986,,Manning Publications Co.,Greenwich; CT; USA
,3164983,Tarek  Ziade,,,,,,,,,,,,,,,,2017,,Python Microservices Development,,,1785881116; 9781785881114,,Packt Publishing,
,3169320,Moises  Macero,,,,,,,,,,,,,,,,2017,,Microservices - The Practical Way,,1st,197430745X; 9781974307456,,CreateSpace Independent Publishing Platform,USA
,3137324,Vikram  Murugesan,,,,,,,,,,,,,,,,2017,,Microservices Deployment Cookbook,,,178646943X; 9781786469434,,Packt Publishing,
,2948737,Deepak  Vohra,,,,,,,,,,,,,,,,2016,,Kubernetes Microservices with Docker,,1st,1484219066; 9781484219065,,Apress,Berkely; CA; USA
,3175860,Jatin  Puri and Selvam  Palanimalai,,,,,,,,,,,,,,,,2017,,Scala Microservices: Develop; Deploy; and Run Microservices with Scala,,,1786469340; 9781786469342,,Packt Publishing,
,3161270,Gaurav Kumar Aroraa and Lalit  Kale and Kanwar  Manish,,,,,,,,,,,,,,,,2017,,Building Microservices with .NET Core,,,1785887831; 9781785887833,,Packt Publishing,
,3164829,Rajesh R. V.,,,,,,,,,,,,,,,,2017,,Spring 5.0 Microservices - Second Edition,,2nd,1787127680; 9781787127685,,Packt Publishing,
,3235081,Ranga Rao Karanam,,,,,,,,,,,,,,,,2018,,Spring: Microservices with Spring Boot Build and Deploy Microservices with Spring Boot,,,1789132584; 9781789132588,,Packt Publishing,
,3002814,Irakli  Nadareishvili and Ronnie  Mitra and Matt  McLarty and Mike  Amundsen,,,,,,,,,,,,,,,,2016,,Microservice Architecture: Aligning Principles; Practices; and Culture,,1st,1491956259; 9781491956250,,O'Reilly Media; Inc.,
,2845112,Bob  Familiar,,,,,,,,,,,,,,,,2015,,Microservices; IoT; and Azure: Leveraging DevOps and Microservice Architecture to Deliver SaaS Solutions,,1st,1484212762; 9781484212769,,Apress,Berkely; CA; USA
The Hidden Dividends of Microservices,2956643,Tom  Killalea,,,,,10:25--10:34,10,10,,10.1145/2956641.2956643,Queue,May-June 2016,14,3,,May,2016,1542-7730,,,,,,ACM,New York; NY; USA
,3134153,Thomas  Hunter;II,,,,,,,,,,,,,,,,2017,,Advanced Microservices: A Hands-on Approach to Microservice Infrastructure and Tooling,,1st,1484228863; 9781484228869,,Apress,Berkely; CA; USA
,3208677,Vinicius Feitosa Pacheco,,,,,,,,,,,,,,,,2018,,Microservice Patterns and Best Practices: Explore Patterns Like CQRS and Event Sourcing to Create Scalable; Maintainable; and Testable Microservices,,,1788474031; 9781788474030,,Packt Publishing,
Microservices: Theory and Application,2960082,,,,Speaker-Lucas  Krause,,--,,,,10.1145/2959689.2960082,,,,,,,2016,,Applicative 2016,Applicative 2016,,978-1-4503-4464-7,New York; NY; USA,ACM,New York; NY; USA
,2834461,Arcot  Rajasekar and Terrell  Russell and Jason  Coposky and Antoine  de Torcy and Hao  Xu and Michael  Wan and Reagan W. Moore and Wayne  Schroeder and Sheau-Yen  Chen and Mike  Conway and Jewel H. Ward,,,,,,,,,,,,,,,,2015,,The Integrated Rule-Oriented Data System (iRODS 4.0) Microservice Workbook,,1st,1511732776; 9781511732772,,CreateSpace Independent Publishing Platform,USA
,3098756,Matthew  Campbell,,,,,,,,,,,,,,,,2016,,Microservices in Go: Use Go to Build Scalable Backends,,1st,149194255X; 9781491942550,,O'Reilly Media; Inc.,
Building Microservices with .NET Core 2.0 - Second Edition: Transitioning Monolithic Architectures Using Microservices with .NET Core 2.0 Using C# 7.0,3203627,Gaurav  Aroraa,,,,,,,,,,,,,,,,2017,,Building Microservices with .NET Core 2.0 - Second Edition: Transitioning Monolithic Architectures Using Microservices with .NET Core 2.0 Using C# 7.0,,2nd,1788393333; 9781788393331,,Packt Publishing,
,3133662,Susan J. Fowler,,,,,,,,,,,,,,,,2016,,Production-Ready Microservices: Building Standardized Systems Across an Engineering Organization,,1st,1491965975; 9781491965979,,O'Reilly Media; Inc.,
,3208602,Juan Antonio Medina Iglesias,,,,,,,,,,,,,,,,2018,,Hands-On Microservices with Kotlin: Build Reactive and Cloud-native Microservices with Kotlin Using Spring 5 and Spring Boot 2.0,,,1788471458; 9781788471459,,Packt Publishing,
,2904389,Josh  Long,,,,,,,,,,,,,,,,2015,,Building Microservices with Spring Boot LiveLessons - Video Training,,,9.78E+12,,Addison-Wesley Professional,
,3086737,Thomas  Erl,,,,,,,,,,,,,,,,2016,,Service-Oriented Architecture: Analysis and Design for Services and Microservices,,2nd,0133858588; 9780133858587,,Prentice Hall Press,Upper Saddle River; NJ; USA
,2956641,,,,,,,,,,,Queue,May-June 2016,14,3,Microservices,May,2016,,,,,,,ACM,New York; NY; USA
Session Details: Microservices Architectural Styles: Agile or Not Agile? (WMSA17); First International Workshop on Microservices for Agile Software Development,3257321,,Claus  Pahl and Davide  Taibi and Andrea  Janes and Valentina  Lenarduzzi,,,,--,,,,10.1145/3257321,,,,,,,2017,,Proceedings of the XP2017 Scientific Workshops,XP '17,,978-1-4503-5264-2,Cologne; Germany,ACM,New York; NY; USA
,3086847,Cloves  Carneiro and Tim  Schmelmer,,,,,,,,,,,,,,,,2016,,Microservices From Day One: Build Robust and Scalable Software from the Start,,1st,1484219368; 9781484219362,,Apress,Berkely; CA; USA
Service Explosion - How Hootsuite Manages Its Ever Growing Microservices Landscape,2959794,,,,Speaker-Adam  Arsenault,,--,,,,10.1145/2959689.2959794,,,,,,,2016,,Applicative 2016,Applicative 2016,,978-1-4503-4464-7,New York; NY; USA,ACM,New York; NY; USA
Cluster-level Logging of Containers with Containers,2965647,Satnam  Singh,,,,,30:83--30:106,30,24,,10.1145/2956641.2965647,Queue,May-June 2016,14,3,,May,2016,1542-7730,,,,,,ACM,New York; NY; USA
,3019578,Viktor  Farcic,,,,,,,,,,,,,,,,2016,,The DevOps 2.0 Toolkit: Automating the Continuous Deployment Pipeline with Containerized Microservices,,1st,152391744X; 9781523917440,,CreateSpace Independent Publishing Platform,USA
The Hidden Dividends of Microservices,2948985,Tom  Killalea,,,,,42--45,,4,,10.1145/2948985,Commun. ACM,16-Aug,59,8,,July,2016,0001-0782,,,,,,ACM,New York; NY; USA
,3175861,Haafiz Waheed-ud-din Ahmad,,,,,,,,,,,,,,,,2017,,Building RESTful Web Services with PHP 7: Lumen; Composer; API Testing; Microservices; and More,,,1787127745; 9781787127746,,Packt Publishing,
,3175930,,,,,,,,,,,,,,,,,2017,,Building Microservices with ASP.NET Core: Develop; Test; and Deploy Cross-Platform Services in the Cloud,,1st,1491961732; 9781491961735,,O'Reilly Media; Inc.,
,3161500,Namit  Tanasseri and Rahul  Rai,,,,,,,,,,,,,,,,2017,,Microservices with Azure: Build Highly Maintainable and Scalable Enterprise-grade Apps,,,1787121143; 9781787121140,,Packt Publishing,
Building Critical Applications Using Microservices,3029286,Christof  Fetzer,,,,,86--89,,4,,10.1109/MSP.2016.129,IEEE Security and Privacy,16-Nov,14,6,,November,2016,1540-7993,,,,,,IEEE Educational Activities Department,Piscataway; NJ; USA
Dynamics of Change: Why Reactivity Matters,2971330,Andre  Medeiros,,,,,50:68--50:82,50,15,,10.1145/2956641.2971330,Queue,May-June 2016,14,3,,May,2016,1542-7730,,,,,,ACM,New York; NY; USA
The Singular Success of SQL,2983199,Pat  Helland,,,,,80:5--80:12,80,8,,10.1145/2956641.2983199,Queue,May-June 2016,14,3,,June,2016,1542-7730,,,,,,ACM,New York; NY; USA
Chilling the Messenger,2962575,George  Neville-Neil,,,,,20:19--20:24,20,6,,10.1145/2956641.2962575,Queue,May-June 2016,14,3,,May,2016,1542-7730,,,,,,ACM,New York; NY; USA
,3217383,Ajay  Mahajan and Munish Kumar Gupta and Shyam  Sundar,,,,,,,,,,,,,,,,2018,,Cloud-Native Applications in Java: Build Microservice-based Cloud-native Applications That Dynamically Scale,,,1787124347; 9781787124349,,Packt Publishing,
,3017649,Paul  Redmond,,,,,,,,,,,,,,,,2016,,Lumen Programming Guide: Writing PHP Microservices; REST and Web Service APIs,,1st,1484221869; 9781484221860,,Apress,Berkely; CA; USA
,3158249,K. Siva Prasad Reddy,,,,,,,,,,,,,,,,2017,,Beginning Spring Boot 2: Applications and Microservices with the Spring Framework,,1st,1484229304; 9781484229309,,Apress,Berkely; CA; USA
,3235483,Deepu K. Sasidharan and N. Sendil Kumar,,,,,,,,,,,,,,,,2018,,Full Stack Development with JHipster: Build Modern Web Applications and Microservices with Spring and Angular,,,178847631X; 9781788476317,,Packt Publishing,
Microservices Tenets,3110423,Olaf  Zimmermann,,,,,301--310,,10,Architectural principles; Architectural styles; DevOps; Domain-driven design; IDEAL cloud application architectures; Loose coupling; Messaging; Patterns; REST; SOA; Service-oriented computing; Systems management,10.1007/s00450-016-0337-0,Comput. Sci.,17-Jul,32,04-Mar,,July,2017,1865-2034,,,,,,Springer-Verlag New York; Inc.,Secaucus; NJ; USA
Overload Control for Scaling WeChat Microservices,3267823,Hao  Zhou and Ming  Chen and Qian  Lin and Yong  Wang and Xiaobin  She and Sifan  Liu and Rui  Gu and Beng Chin Ooi and Junfeng  Yang,,,,,149--161,,13,WeChat; microservice architecture; overload control; service admission control,10.1145/3267809.3267823,,,,,,,2018,,Proceedings of the ACM Symposium on Cloud Computing,SoCC '18,,978-1-4503-6011-1,Carlsbad; CA; USA,ACM,New York; NY; USA
,1048086,Sung Joong Kim,,,Supervisor-Farokh B. Bastani,,,,,,,,,,,,,2004,,Foundation for Composable Microservices for Rapid Synthesis of Highly Reliable Software Systems,,,,,The University of Texas at Dallas,
,3278929,Jie  Ye,,,,,,,,,,,,,,,,2018,,OTDD; Online-Test-Driven Development; the Improved TDD Applying on Microservice Developement,,,1983073954; 9781983073953,,Independently published,
Putting the Micro Back in Microservice,3277417,Sol  Boucher and Anuj  Kalia and David G. Andersen and Michael  Kaminsky,,,,,645--650,,6,,,,,,,,,2018,,Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference,USENIX ATC '18,,978-1-931971-44-7,Boston; MA; USA,USENIX Association,Berkeley; CA; USA
Migrating Towards Microservices: Migration and Architecture Smells,3242164,Andr&#233;s  Carrasco and Brent van  Bladel and Serge  Demeyer,,,,,1--6,,6,Architecture Smells; Literature Study; MicroServices; Migration Smells,10.1145/3242163.3242164,,,,,,,2018,,Proceedings of the 2Nd International Workshop on Refactoring,IWoR 2018,,978-1-4503-5974-0,Montpellier; France,ACM,New York; NY; USA
Partitioning Microservices: A Domain Engineering Approach,3195535,Munezero Immacul&#233;e Jos&#233;lyne and Doreen  Tuheirwe-Mukasa and Benjamin  Kanagwa and Joseph  Balikuddembe,,,,,43--49,,7,DDD pattern; sizing microservice; weather domain,10.1145/3195528.3195535,,,,,,,2018,,Proceedings of the 2018 International Conference on Software Engineering in Africa,SEiA '18,,978-1-4503-5719-7,Gothenburg; Sweden,ACM,New York; NY; USA
A Microservices Experience in the Banking Industry,3241418,David Garc&#237;a Gil and Rub&#233;n Aguilera D&#237;az-Heredero,,,,,13:1--13:2,13,2,CI/CD; devops; kubernetes; microservices,10.1145/3241403.3241418,,,,,,,2018,,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,,978-1-4503-6483-6,Madrid; Spain,ACM,New York; NY; USA
,3202371,Mick  Knutson and Robert  Winch and Peter  Mularien,,,,,,,,,,,,,,,,2017,,Spring Security - Third Edition: Secure Your Web Applications; RESTful Services; and Microservice Architectures,,3rd,1787129519; 9781787129511,,Packt Publishing,
,3285637,Mohamed Shazin Sadakath,,,,,,,,,,,,,,,,2018,,Spring Boot 2.0 Projects: Build Production-grade Reactive Applications and Microservices with Spring Boot,,,1789136156; 9781789136159,,Packt Publishing,
Bad Software Architecture is a People Problem,2974011,Kate  Matsudaira,,,,,60:13--60:18,60,6,,10.1145/2956641.2974011,Queue,May-June 2016,14,3,,June,2016,1542-7730,,,,,,ACM,New York; NY; USA
Tracking and Controlling Microservice Dependencies,3277541,Silvia  Esparrachiari and Tanya  Reilly and Ashleigh  Rentz,,,,,10:44--10:65,10,22,,10.1145/3277539.3277541,Queue,July-August 2018,16,4,,August,2018,1542-7730,,,,,,ACM,New York; NY; USA
Idle-Time Garbage-Collection Scheduling,2977741,Ulan  Degenbaev and Jochen  Eisinger and Manfred  Ernst and Ross  McIlroy and Hannes  Payer,,,,,70:35--70:52,70,18,,10.1145/2956641.2977741,Queue,May-June 2016,14,3,,June,2016,1542-7730,,,,,,ACM,New York; NY; USA
An Atmospheric Dispersion Modeling Microservice for HazMat Transportation,3223642,Ghyzlane  Cherradi and Adil  El bouziri and Azedine  Boulmakoul and Karine  Zeitouni,,,,,526--532,,7,ALOHA; Hazmat transportation; atmospheric dispersion; dispersion model; microservice,10.1016/j.procs.2018.04.075,Procedia Comput. Sci.,18-May,130,C,,May,2018,1877-0509,,,,,,Elsevier Science Publishers B. V.,Amsterdam; The Netherlands; The Netherlands
Microservices Architecture Enables DevOps: Migration to a Cloud-Native Architecture,2933198,Armin  Balalaie and Abbas  Heydarnoori and Pooyan  Jamshidi,,,,,42--52,,11,,10.1109/MS.2016.64,IEEE Softw.,16-May,33,3,,May,2016,0740-7459,,,,,,IEEE Computer Society Press,Los Alamitos; CA; USA
Microservices in Practice; Part 2: Service Integration and Sustainability,3080991,Cesare  Pautasso and Olaf  Zimmermann and Mike  Amundsen and James  Lewis and Nicolai  Josuttis,,,,,97--104,,8,,10.1109/MS.2017.56,IEEE Softw.,17-Mar,34,2,,March,2017,0740-7459,,,,,,IEEE Computer Society Press,Los Alamitos; CA; USA
Microservices in Practice; Part 1: Reality Check and Service Design,3046201,Cesare  Pautasso and Olaf  Zimmermann and Mike  Amundsen and James  Lewis and Nicolai  Josuttis,,,,,91--98,,8,,10.1109/MS.2017.24,IEEE Softw.,17-Jan,34,1,,January,2017,0740-7459,,,,,,IEEE Computer Society Press,Los Alamitos; CA; USA
Benchmarking Microservice Systems for Software Engineering Research,3194991,Xiang  Zhou and Xin  Peng and Tao  Xie and Jun  Sun and Chenjie  Xu and Chao  Ji and Wenyun  Zhao,,,,,323--324,,2,benchmark; debugging; failure diagnosis; microservice; tracing; visualization,10.1145/3183440.3194991,,,,,,,2018,,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,ICSE '18,,978-1-4503-5663-3,Gothenburg; Sweden,ACM,New York; NY; USA
An Architecture for Self-managing Microservices,2747474,Giovanni  Toffetti and Sandro  Brunner and Martin  Bl&#246;chlinger and Florian  Dudouet and Andrew  Edmonds,,,,,19--24,,6,,10.1145/2747470.2747474,,,,,,,2015,,Proceedings of the 1st International Workshop on Automated Incident Management in Cloud,AIMC '15,,978-1-4503-3476-1,Bordeaux; France,ACM,New York; NY; USA
Contextual Understanding of Microservice Architecture: Current and Future Directions,3183631,Tomas  Cerny and Michael J. Donahoo and Michal  Trnka,,,,,29--45,,17,SOA; architectures; microservices; self-contained systems; survey; systematic mapping study,10.1145/3183628.3183631,SIGAPP Appl. Comput. Rev.,17-Dec,17,4,,January,2018,1559-6915,,,,,,ACM,New York; NY; USA
,3203839,Mina  Andrawos and Martin  Helmich,,,,,,,,,,,,,,,,2017,,Cloud Native Programming with Golang: Develop Microservice-based High Performance Web Apps for the Cloud with Go,,,178712598X; 9781787125988,,Packt Publishing,
Defense-in-depth and Role Authentication for Microservice Systems,3223639,Kai  Jander and Lars  Braubach and Alexander  Pokahr,,,,,456--463,,8,Authentication; Confidentiality; Encryption; Microservices; Security,10.1016/j.procs.2018.04.047,Procedia Comput. Sci.,18-May,130,C,,May,2018,1877-0509,,,,,,Elsevier Science Publishers B. V.,Amsterdam; The Netherlands; The Netherlands
Self-Reconfiguring Microservices,2962209,Maurizio  Gabbrielli and Saverio  Giallorenzo and Claudio  Guidi and Jacopo  Mauro and Fabrizio  Montesi,,,,,194--210,,17,Automatic deployment; Microservices; Optimal component allocation; Service-Oriented Architecture,10.1007/978-3-319-30734-3_14,,,,,,,2016,,Essays Dedicated to Frank De Boer on Theory and Practice of Formal Methods - Volume 9660,,,978-3-319-30733-6,,Springer-Verlag,Berlin; Heidelberg
Integrating Personalized and Accessible Itineraries in MaaS Ecosystems Through Microservices,3197930,Andrea  Melis and Silvia  Mirri and Catia  Prandi and Marco  Prandini and Paola  Salomoni and Franco  Callegati,,,,,167--176,,10,Microservices; Mobility-as-a-Service; Users with special needs,10.1007/s11036-017-0831-z,Mob. Netw. Appl.,18-Feb,23,1,,February,2018,1383-469X,,,,,,Springer-Verlag New York; Inc.,Secaucus; NJ; USA
Verification in the Age of Microservices,3102986,Aurojit  Panda and Mooly  Sagiv and Scott  Shenker,,,,,30--36,,7,,10.1145/3102980.3102986,,,,,,,2017,,Proceedings of the 16th Workshop on Hot Topics in Operating Systems,HotOS '17,,978-1-4503-5068-6,Whistler; BC; Canada,ACM,New York; NY; USA
Delta Debugging Microservice Systems,3240730,Xiang  Zhou and Xin  Peng and Tao  Xie and Jun  Sun and Wenhai  Li and Chao  Ji and Dan  Ding,,,,,802--807,,6,Delta Debugging; Microservice; Testing,10.1145/3238147.3240730,,,,,,,2018,,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,ASE 2018,,978-1-4503-5937-5,Montpellier; France,ACM,New York; NY; USA
Migrating Web Applications from Monolithic Structure to Microservices Architecture,3275230,Zhongshan  Ren and Wei  Wang and Guoquan  Wu and Chushu  Gao and Wei  Chen and Jun  Wei and Tao  Huang,,,,,7:1--7:10,7,10,application migration; function clustering; microservices; monolithic application,10.1145/3275219.3275230,,,,,,,2018,,Proceedings of the Tenth Asia-Pacific Symposium on Internetware,Internetware '18,,978-1-4503-6590-1,Beijing; China,ACM,New York; NY; USA
PipelineX: A Feature Animation Pipeline on Microservices,3105702,Dan  Golembeski and Ray  Forziati and Ben  George and Doug  Sherman,,,,,1:1--1:4,1,4,feature animation; microservices; pipeline,10.1145/3105692.3105702,,,,,,,2017,,Proceedings of the ACM SIGGRAPH Digital Production Symposium,DigiPro '17,,978-1-4503-5102-7,Los Angeles; California,ACM,New York; NY; USA
Synapse: A Microservices Architecture for Heterogeneous-database Web Applications,2741975,Nicolas  Viennot and Mathias  L&#233;cuyer and Jonathan  Bell and Roxana  Geambasu and Jason  Nieh,,,,,21:1--21:16,21,16,,10.1145/2741948.2741975,,,,,,,2015,,Proceedings of the Tenth European Conference on Computer Systems,EuroSys '15,,978-1-4503-3238-5,Bordeaux; France,ACM,New York; NY; USA
Mechanisms for Mutual Attested Microservice Communication,3148102,Kevin  Walsh and John  Manferdelli,,,,,59--64,,6,attestation; mutual authentication; trustworthy computing,10.1145/3147234.3148102,,,,,,,2017,,Companion Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17 Companion,,978-1-4503-5195-9,Austin; Texas; USA,ACM,New York; NY; USA
Distributed Systems of Microservices Using Docker and Serfnode,2866079,Joe  Stubbs and Walter  Moreira and Rion  Dooley,,,,,34--39,,6,distributed; containers; microservices,10.1109/IWSG.2015.16,,,,,,,2015,,Proceedings of the 2015 7th International Workshop on Science Gateways,IWSG '15,,978-1-4673-7459-0,,IEEE Computer Society,Washington; DC; USA
CAUS: An Elasticity Controller for a Containerized Microservice,3186296,Floriment  Klinaku and Markus  Frank and Steffen  Becker,,,,,93--98,,6,cloud-computing; containers; elasticity; extra-capacity; horizontal-scaling; over-provisioning; threshold-based,10.1145/3185768.3186296,,,,,,,2018,,Companion of the 2018 ACM/SPEC International Conference on Performance Engineering,ICPE '18,,978-1-4503-5629-9,Berlin; Germany,ACM,New York; NY; USA
Implementation Patterns for Microservices Architectures,3158170,Kyle  Brown and Bobby  Woolf,,,,,7:1--7:35,7,35,agile development; microservices; pattern languages; software architectures,,,,,,,,2016,,Proceedings of the 23rd Conference on Pattern Languages of Programs,PLoP '16,,,Monticello; Illinois,The Hillside Group,USA
AjiL: Enabling Model-driven Microservice Development,3241406,Jonas  Sorgaila and Philip  Wizenty and Florian  Rademacher and Sabine  Sachweh and Albert  Z&#252;ndorf,,,,,1:1--1:4,1,4,development tool; graphical domain-specific modeling language; microservice architecture; model-driven engineering,10.1145/3241403.3241406,,,,,,,2018,,Proceedings of the 12th European Conference on Software Architecture: Companion Proceedings,ECSA '18,,978-1-4503-6483-6,Madrid; Spain,ACM,New York; NY; USA
A Declarative Approach for Updating Distributed Microservices,3195023,Fabienne  Boyer and Nol  de Palma and Xinxiu  Tao and Xavier  Etchevers,,,,,392--393,,2,,10.1145/3183440.3195023,,,,,,,2018,,Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings,ICSE '18,,978-1-4503-5663-3,Gothenburg; Sweden,ACM,New York; NY; USA
,3203533,Moises  Macero,,,,,,,,,,,,,,,,2017,,Learn Microservices with Spring Boot: A Practical Approach to RESTful Services Using RabbitMQ; Eureka; Ribbon; Zuul and Cucumber,,1st,1484231643; 9781484231647,,Apress,Berkely; CA; USA
Hands-on: Microservices on NodeJS,3049933,John  Barboza and Muntasir  Mallick and Joran  Siu and Jaideep  Bajwa and Michael  Dawson,,,,,342--343,,2,,,,,,,,,2016,,Proceedings of the 26th Annual International Conference on Computer Science and Software Engineering,CASCON '16,,,Toronto; Ontario; Canada,IBM Corp.,Riverton; NJ; USA
Microservices for Scalability: Keynote Talk Abstract,2858659,Wilhelm  Hasselbring,,,,,133--134,,2,microservices; monitoring; scalability,10.1145/2851553.2858659,,,,,,,2016,,Proceedings of the 7th ACM/SPEC on International Conference on Performance Engineering,ICPE '16,,978-1-4503-4080-9,Delft; The Netherlands,ACM,New York; NY; USA
Query Strategies on Polyglot Persistence in Microservices,3167316,Lu&#237;s H. N. Villa&#231;a and Leonardo G. Azevedo and Fernanda  Bai&#227;o,,,,,1725--1732,,8,microservices; polyglot persistence; query,10.1145/3167132.3167316,,,,,,,2018,,Proceedings of the 33rd Annual ACM Symposium on Applied Computing,SAC '18,,978-1-4503-5191-1,Pau; France,ACM,New York; NY; USA
Service Fabric: A Distributed Platform for Building Microservices in the Cloud,3190546,Gopal  Kakivaya and Lu  Xun and Richard  Hasha and Shegufta Bakht Ahsan and Todd  Pfleiger and Rishi  Sinha and Anurag  Gupta and Mihail  Tarta and Mark  Fussell and Vipul  Modi and Mansoor  Mohsin and Ray  Kong and Anmol  Ahuja and Oana  Platon and Alex  Wun and Matthew  Snider and Chacko  Daniel and Dan  Mastrian and Yang  Li and Aprameya  Rao and Vaishnav  Kidambi and Randy  Wang and Abhishek  Ram and Sumukh  Shivaprakash and Rajeet  Nair and Alan  Warwick and Bharat S. Narasimman and Meng  Lin and Jeffrey  Chen and Abhay Balkrishna Mhatre and Preetha  Subbarayalu and Mert  Coskun and Indranil  Gupta,,,,,33:1--33:15,33,15,distributed systems; failure detection; microservices; production systems; scheduling,10.1145/3190508.3190546,,,,,,,2018,,Proceedings of the Thirteenth EuroSys Conference,EuroSys '18,,978-1-4503-5584-1,Porto; Portugal,ACM,New York; NY; USA
Microservices: Granularity vs. Performance,3148093,Dharmendra  Shadija and Mo  Rezai and Richard  Hill,,,,,215--220,,6,internet of things; microservice architecture; performance; software engineering,10.1145/3147234.3148093,,,,,,,2017,,Companion Proceedings of the10th International Conference on Utility and Cloud Computing,UCC '17 Companion,,978-1-4503-5195-9,Austin; Texas; USA,ACM,New York; NY; USA
