Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Probe into the Technological Enablers of Microservice Architectures","Integrated Intelligent Computing, Communication and Security","","","","10.1007/978-981-10-8797-4_50","Christina Terese JosephK. Chandrasekaran","2019","http://link.springer.com/chapter/10.1007/978-981-10-8797-4_50","Chapter"
"A Concept for the Control, Monitoring and Visualization Center in Energy Lab 2.0","Energy Informatics","","","","10.1007/978-3-319-25876-8_8","Clemens DüpmeierKarl-Uwe StuckyRalf MikutVeit Hagenmeyer","2015","http://link.springer.com/chapter/10.1007/978-3-319-25876-8_8","Chapter"
"Performance Analysis of Monolithic and Micro Service Architectures – Containers Technology","Trends and Applications in Software Engineering","","","","10.1007/978-3-030-01171-0_25","Alexis SaransigFreddy Tapia","2019","http://link.springer.com/chapter/10.1007/978-3-030-01171-0_25","Chapter"
"Micro Service Cloud Computing Pattern for Next Generation Networks","Smart City 360°","","","","10.1007/978-3-319-33681-7_22","Pascal PotvinMahdy NabaeeFabrice LabeauKim-Khoa NguyenMohamed Cheriet","2016","http://link.springer.com/chapter/10.1007/978-3-319-33681-7_22","Chapter"
"A Web-Based Micro-service Architecture for Comparing Parallel Implementations of Dissimilarity Measures","Distributed Computing and Artificial Intelligence, 15th International Conference","","","","10.1007/978-3-319-94649-8_20","Daniel-Stiven Valencia-HernándezAna-Lorena Uribe-HurtadoMauricio Orozco-Alzate","2019","http://link.springer.com/chapter/10.1007/978-3-319-94649-8_20","Chapter"
"Redefining a Process Engine as a Microservice Platform","Business Process Management Workshops","","","","10.1007/978-3-319-58457-7_19","Antonio Manuel Gutiérrez–FernándezManuel ResinasAntonio Ruiz–Cortés","2017","http://link.springer.com/chapter/10.1007/978-3-319-58457-7_19","Chapter"
"Towards a Reference Dataset of Microservice-Based Applications","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_16","Antonio BrogiAndrea CancianiDavide NeriLuca RinaldiJacopo Soldani","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_16","Chapter"
"An Approach to Modeling Microservice Solutions","Information Science and Applications 2018","","","","10.1007/978-981-13-1056-0_53","Zhiyi MaJinyang LiuXiao He","2019","http://link.springer.com/chapter/10.1007/978-981-13-1056-0_53","Chapter"
"Beethoven: An Event-Driven Lightweight Platform for Microservice Orchestration","Software Architecture","","","","10.1007/978-3-030-00761-4_13","Davi MonteiroRômulo GadelhaPaulo Henrique M. MaiaLincoln S. RochaNabor C. Mendonça","2018","http://link.springer.com/chapter/10.1007/978-3-030-00761-4_13","Chapter"
"What Is a Microservice?","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_2","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_2","Chapter"
"Reference Architecture for Self-adaptive Microservice Systems","Intelligent Distributed Computing XI","","","","10.1007/978-3-319-66379-1_26","Krasimir BaylovAleksandar Dimov","2018","http://link.springer.com/chapter/10.1007/978-3-319-66379-1_26","Chapter"
"Evaluation of Microservice Architectures: A Metric and Tool-Based Approach","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_8","Thomas EngelMelanie LangermeierBernhard BauerAlexander Hofmann","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_8","Chapter"
"From Monolithic to Microservice","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_1","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_1","Chapter"
"Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements","Software Architecture","","","","10.1007/978-3-319-65831-5_11","Stefan HaselböckRainer WeinreichGeorg Buchgeher","2017","http://link.springer.com/chapter/10.1007/978-3-319-65831-5_11","Chapter"
"The optimal macro control strategies of service providers and micro service selection of users: quantification model based on synergetics","Wireless Networks","","24","6","10.1007/s11276-016-1436-3","Xiaorong ZhuXiaodi GongDanny H. K. Tsang","2018","http://link.springer.com/article/10.1007/s11276-016-1436-3","Article"
"Learning-Based Testing of Distributed Microservice Architectures: Correctness and Fault Injection","Software Engineering and Formal Methods","","","","10.1007/978-3-662-49224-6_1","Karl MeinkePeter Nycander","2015","http://link.springer.com/chapter/10.1007/978-3-662-49224-6_1","Chapter"
"Ensuring and Assessing Architecture Conformance to Microservice Decomposition Patterns","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_29","Uwe ZdunElena NavarroFrank Leymann","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_29","Chapter"
"Microservice Architecture","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_3","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_3","Chapter"
"A Generic Microservice Architecture for Environmental Data Management","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_32","Eric BraunThorsten SchlachterClemens DüpmeierKarl-Uwe StuckyWolfgang Suess","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_32","Chapter"
"Investigation of Impacts on Network Performance in the Advance of a Microservice Design","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_10","Nane KratzkePeter-Christian Quint","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_10","Chapter"
"A Microservice Infrastructure for Distributed Communities of Practice","Lifelong Technology-Enhanced Learning","","","","10.1007/978-3-319-98572-5_14","Peter de LangeBernhard GöschlbergerTracie FarrellRalf Klamma","2018","http://link.springer.com/chapter/10.1007/978-3-319-98572-5_14","Chapter"
"Inferring Calling Relationship Based on External Observation for Microservice Architecture","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_16","Shinya KitajimaNaoki Matsuoka","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_16","Chapter"
"A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing","Software Architecture","","","","10.1007/978-3-030-00761-4_11","Alberto AvritzerVincenzo FermeAndrea JanesBarbara RussoHenning SchulzAndré van Hoorn","2018","http://link.springer.com/chapter/10.1007/978-3-030-00761-4_11","Chapter"
"Challenges When Moving from Monolith to Microservice Architecture","Current Trends in Web Engineering","","","","10.1007/978-3-319-74433-9_3","Miika KalskeNiko MäkitaloTommi Mikkonen","2018","http://link.springer.com/chapter/10.1007/978-3-319-74433-9_3","Chapter"
"A microservice-based architecture for enhancing the user experience in cross-device distributed mashup UIs with multiple forms of interaction","Universal Access in the Information Society","","","","10.1007/s10209-017-0606-0","Antonio Jesús Fernández-GarcíaLuis IribarneAntonio CorralJavier CriadoJames Z. Wang","2017","http://link.springer.com/article/10.1007/s10209-017-0606-0","Article"
"A Microservice Architecture Use Case for Persons with Disabilities","Smart Objects and Technologies for Social Good","","","","10.1007/978-3-319-61949-1_5","Andrea MelisSilvia MirriCatia PrandiMarco PrandiniPaola SalomoniFranco Callegati","2017","http://link.springer.com/chapter/10.1007/978-3-319-61949-1_5","Chapter"
"Azure, A Microservice Platform","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_4","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_4","Chapter"
"Microservice Reference Implementation","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_6","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_6","Chapter"
"Microservice-Based Agile Architectures: An Opportunity for Specialized Niche Technologies","Reliable Software Technologies – Ada-Europe 2018","","","","10.1007/978-3-319-92432-8_10","Stefano MunariSebastiano ValleTullio Vardanega","2018","http://link.springer.com/chapter/10.1007/978-3-319-92432-8_10","Chapter"
"Towards a UML Profile for Domain-Driven Design of Microservice Architectures","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_17","Florian RademacherSabine SachwehAlbert Zündorf","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_17","Chapter"
"Transformation of State Machines for a Microservice-Based Event-Driven Architecture: A Proof-of-Concept","Recent Advances in Information and Communication Technology 2018","","","","10.1007/978-3-319-93692-5_32","Roland Petrasch","2019","http://link.springer.com/chapter/10.1007/978-3-319-93692-5_32","Chapter"
"Automatic Performance Simulation for Microservice Based Applications","Methods and Applications for Modeling and Simulation of Complex Systems","","","","10.1007/978-981-13-2853-4_7","Yao SunLun MengPeng LiuYan ZhangHaopeng Chan","2018","http://link.springer.com/chapter/10.1007/978-981-13-2853-4_7","Chapter"
"Smart Tourism Platform Based on Microservice Architecture and Recommender Services","Mobile Web and Intelligent Information Systems","","","","10.1007/978-3-319-97163-6_14","Laura Martínez GarciaSilvana AciarRaynel MendozaJuan José Puello","2018","http://link.springer.com/chapter/10.1007/978-3-319-97163-6_14","Chapter"
"SmartVM: a SLA-aware microservice deployment framework","World Wide Web","","","","10.1007/s11280-018-0562-5","Tianlei ZhengXi ZhengYuqun ZhangYao DengErXi DongRui ZhangXiao Liu","2018","http://link.springer.com/article/10.1007/s11280-018-0562-5","Article"
"Crunch: Automated Assessment of Microservice Architecture Assignments with Formative Feedback","Software Architecture","","","","10.1007/978-3-030-00761-4_12","Henrik Bærbak Christensen","2018","http://link.springer.com/chapter/10.1007/978-3-030-00761-4_12","Chapter"
"RAML-Based Mock Service Generator for Microservice Applications Testing","Supercomputing","","","","10.1007/978-3-319-71255-0_37","Nikita AshikhminGleb RadchenkoAndrei Tchernykh","2017","http://link.springer.com/chapter/10.1007/978-3-319-71255-0_37","Chapter"
"MICROLYZE: A Framework for Recovering the Software Architecture in Microservice-Based Environments","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_14","Martin KleehausÖmer UludağPatrick SchäferFlorian Matthes","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_14","Chapter"
"Towards a Taxonomy of Microservices Architectures","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_15","Martin Garriga","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_15","Chapter"
"Towards a Methodology to Form Microservices from Monolithic Ones","Euro-Par 2016: Parallel Processing Workshops","","","","10.1007/978-3-319-58943-5_23","Gabor KecskemetiAttila KerteszAttila Csaba Marosi","2017","http://link.springer.com/chapter/10.1007/978-3-319-58943-5_23","Chapter"
"From Sensors to Users—Using Microservices for the Handling of Measurement Data","From Science to Society","","","","10.1007/978-3-319-65687-8_18","Thorsten SchlachterEric BraunClemens DüpmeierHannes MüllerMartin Scherrer","2018","http://link.springer.com/chapter/10.1007/978-3-319-65687-8_18","Chapter"
"Web API and μService","Practical Scala DSLs","","","","10.1007/978-1-4842-3036-7_5","Pierluigi Riti","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3036-7_5","Chapter"
"Identifying Resources","Creating Maintainable APIs","","","","10.1007/978-1-4842-2196-9_5","Ervin Varga","2016","http://link.springer.com/chapter/10.1007/978-1-4842-2196-9_5","Chapter"
"Development of Web Business Applications with the Use of Micro-services","Contemporary Complex Systems and Their Dependability","","","","10.1007/978-3-319-91446-6_35","Aneta Poniszewska-Marańda","2019","http://link.springer.com/chapter/10.1007/978-3-319-91446-6_35","Chapter"
"A Formal Framework for Specifying and Verifying Microservices Based Process Flows","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_14","Matteo CamilliCarlo BellettiniLorenzo CapraMattia Monga","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_14","Chapter"
"Microflows: Leveraging Process Mining and an Automated Constraint Recommender for Microflow Modeling","Business Modeling and Software Design","","","","10.1007/978-3-319-78428-1_2","Roy OberhauserSebastian Stigler","2018","http://link.springer.com/chapter/10.1007/978-3-319-78428-1_2","Chapter"
"The Microservices Journey Through Tools","Learn Microservices with Spring Boot","","","","10.1007/978-1-4842-3165-4_5","Moises Macero","2017","http://link.springer.com/chapter/10.1007/978-1-4842-3165-4_5","Chapter"
"Microflows: Automated Planning and Enactment of Dynamic Workflows Comprising Semantically-Annotated Microservices","Business Modeling and Software Design","","","","10.1007/978-3-319-57222-2_9","Roy Oberhauser","2017","http://link.springer.com/chapter/10.1007/978-3-319-57222-2_9","Chapter"
"Redundant and Reliable Architecture Based on Open Source Tools for Light-Rail-Transit On-Board-Systems","Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification","","","","10.1007/978-3-319-68499-4_14","Vincenzo Di MassaMirko DamianiMaurizio PapiniGianluca Mandò","2017","http://link.springer.com/chapter/10.1007/978-3-319-68499-4_14","Chapter"
"Secure Cloud Micro Services Using Intel SGX","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-319-59665-5_13","Stefan BrennerTobias HundtGiovanni MazzeoRüdiger Kapitza","2017","http://link.springer.com/chapter/10.1007/978-3-319-59665-5_13","Chapter"
"Bridging Web APIs and Linked Data with SPARQL Micro-Services","The Semantic Web: ESWC 2018 Satellite Events","","","","10.1007/978-3-319-98192-5_35","Franck MichelCatherine Faron-ZuckerFabien Gandon","2018","http://link.springer.com/chapter/10.1007/978-3-319-98192-5_35","Chapter"
"Automation of the Incremental Integration of Microservices Architectures","Complexity in Information Systems Development","","","","10.1007/978-3-319-52593-8_4","Miguel Zúñiga-PrietoEmilio InsfranSilvia AbrahãoCarlos Cano-Genoves","2017","http://link.springer.com/chapter/10.1007/978-3-319-52593-8_4","Chapter"
"SLA-Driven Governance for RESTful Systems","Service-Oriented Computing – ICSOC 2017 Workshops","","","","10.1007/978-3-319-91764-1_30","Antonio Gamez-DiazPablo FernandezAntonio Ruiz-Cortes","2018","http://link.springer.com/chapter/10.1007/978-3-319-91764-1_30","Chapter"
"A Generic Web Cache Infrastructure for the Provision of Multifarious Environmental Data","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_30","Thorsten SchlachterEric BraunClemens DüpmeierChristian SchmittWolfgang Schillinger","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_30","Chapter"
"Attribute-Based Encryption as a Service for Access Control in Large-Scale Organizations","Foundations and Practice of Security","","","","10.1007/978-3-319-75650-9_1","Johannes BlömerPeter GüntherVolker KrummelNils Löken","2018","http://link.springer.com/chapter/10.1007/978-3-319-75650-9_1","Chapter"
"Dynamic Selecting Approach for Multi-cloud Providers","Cloud Computing – CLOUD 2018","","","","10.1007/978-3-319-94295-7_3","Juliana CarvalhoDario VieiraFernando Trinta","2018","http://link.springer.com/chapter/10.1007/978-3-319-94295-7_3","Chapter"
"Microservices: How To Make Your Application Scale","Perspectives of System Informatics","","","","10.1007/978-3-319-74313-4_8","Nicola DragoniIvan LaneseStephan Thordal LarsenManuel MazzaraRuslan MustafinLarisa Safina","2018","http://link.springer.com/chapter/10.1007/978-3-319-74313-4_8","Chapter"
"From Lesson Learned to the Refactoring of the DRIHM Science Gateway for Hydro-meteorological Research","Journal of Grid Computing","","14","4","10.1007/s10723-016-9377-8","Daniele D’AgostinoEmanuele DanovaroAndrea ClematisLuca RoverelliGabriele ZereikAntonella Galizia","2016","http://link.springer.com/article/10.1007/s10723-016-9377-8","Article"
"Taking a Steppe Towards Optimizing Note-Taking Software by Creation of a Note Classification Algorithm","Information Technology - New Generations","","","","10.1007/978-3-319-77028-4_45","Daniela ZiebaWren JenkinsMichael GallowayJean-Luc Houle","2018","http://link.springer.com/chapter/10.1007/978-3-319-77028-4_45","Chapter"
"Starting with Microservices","Learn Microservices with Spring Boot","","","","10.1007/978-1-4842-3165-4_4","Moises Macero","2017","http://link.springer.com/chapter/10.1007/978-1-4842-3165-4_4","Chapter"
"Microservices in a Small Development Organization","Software Architecture","","","","10.1007/978-3-319-65831-5_15","Georg BuchgeherMario WintererRainer WeinreichJohannes LugerRoland WingelhoferMario Aistleitner","2017","http://link.springer.com/chapter/10.1007/978-3-319-65831-5_15","Chapter"
"Transit-hub: a smart public transportation decision support system with multi-timescale analytical services","Cluster Computing","","","","10.1007/s10586-018-1708-z","Fangzhou SunAbhishek DubeyJules WhiteAniruddha Gokhale","2018","http://link.springer.com/article/10.1007/s10586-018-1708-z","Article"
"Microservices as Agents in IoT Systems","Agent and Multi-Agent Systems: Technology and Applications","","","","10.1007/978-3-319-59394-4_3","Petar KrivicPavle SkocirMario KusekGordan Jezic","2017","http://link.springer.com/chapter/10.1007/978-3-319-59394-4_3","Chapter"
"Provalets: Component-Based Mobile Agents as Microservices for Rule-Based Data Access, Processing and Analytics","Business & Information Systems Engineering","","58","5","10.1007/s12599-016-0447-z","Prof. Dr. Adrian Paschke","2016","http://link.springer.com/article/10.1007/s12599-016-0447-z","Article"
"Automation","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_5","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_5","Chapter"
"Re-architecting OO Software into Microservices","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_5","Anfel SelmadjiAbdelhak-Djamel SeriaiHinde Lilia BouzianeChristophe DonyRahina Oumarou Mahamane","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_5","Chapter"
"Resource optimization of container orchestration: a case study in multi-cloud microservices-based applications","The Journal of Supercomputing","","74","7","10.1007/s11227-018-2345-2","Carlos GuerreroIsaac LeraCarlos Juiz","2018","http://link.springer.com/article/10.1007/s11227-018-2345-2","Article"
"Low-Level Exploitation Mitigation by Diverse Microservices","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-67262-5_4","Christian OtterstadTetiana Yarygina","2017","http://link.springer.com/chapter/10.1007/978-3-319-67262-5_4","Chapter"
"Microservices: Yesterday, Today, and Tomorrow","Present and Ulterior Software Engineering","","","","10.1007/978-3-319-67425-4_12","Nicola DragoniSaverio GiallorenzoAlberto Lluch LafuenteManuel MazzaraFabrizio MontesiRuslan MustafinLarisa Safina","2017","http://link.springer.com/chapter/10.1007/978-3-319-67425-4_12","Chapter"
"SeCoS: Web of Things platform based on a microservices architecture and support of time-awareness","e & i Elektrotechnik und Informationstechnik","","133","3","10.1007/s00502-016-0404-z","Herwig ZeinerMichael GollerVíctor Juan Expósito JiménezFlorian SalmhoferWerner Haas","2016","http://link.springer.com/article/10.1007/s00502-016-0404-z","Article"
"A Game of Microservices: Automated Intrusion Response","Distributed Applications and Interoperable Systems","","","","10.1007/978-3-319-93767-0_12","Tetiana YaryginaChristian Otterstad","2018","http://link.springer.com/chapter/10.1007/978-3-319-93767-0_12","Chapter"
"Identifying Microservices Using Functional Decomposition","Dependable Software Engineering. Theories, Tools, and Applications","","","","10.1007/978-3-319-99933-3_4","Shmuel TyszberowiczRobert HeinrichBo LiuZhiming Liu","2018","http://link.springer.com/chapter/10.1007/978-3-319-99933-3_4","Chapter"
"Microservices: A Language-Based Approach","Present and Ulterior Software Engineering","","","","10.1007/978-3-319-67425-4_13","Claudio GuidiIvan LaneseManuel MazzaraFabrizio Montesi","2017","http://link.springer.com/chapter/10.1007/978-3-319-67425-4_13","Chapter"
"Securely and Automatically Deploying Micro-services in an Hybrid Cloud Infrastructure","Principles and Practice of Constraint Programming","","","","10.1007/978-3-319-98334-9_40","Waldemar CruzFanghui LiuLaurent Michel","2018","http://link.springer.com/chapter/10.1007/978-3-319-98334-9_40","Chapter"
"A Public Health Surveillance Platform Exploiting Free-Text Sources via Natural Language Processing and Linked Data: Application in Adverse Drug Reaction Signal Detection Using PubMed and Twitter","Knowledge Representation for Health Care","","","","10.1007/978-3-319-55014-5_4","Pantelis NatsiavasNicos MaglaverasVassilis Koutkias","2017","http://link.springer.com/chapter/10.1007/978-3-319-55014-5_4","Chapter"
"A Micro Services Quality Measurement Model for Improving the Efficiency and Quality of DevOps","Innovative Mobile and Internet Services in Ubiquitous Computing","","","","10.1007/978-3-319-93554-6_55","Sen-Tarng LaiFang-Yie Leu","2019","http://link.springer.com/chapter/10.1007/978-3-319-93554-6_55","Chapter"
"Disciplined Development","Unraveling Software Maintenance and Evolution","","","","10.1007/978-3-319-71303-8_6","Ervin Varga","2017","http://link.springer.com/chapter/10.1007/978-3-319-71303-8_6","Chapter"
"Development of an industrial Internet of things suite for smart factory towards re-industrialization","Advances in Manufacturing","","5","4","10.1007/s40436-017-0197-2","C. K. M. LeeS. Z. ZhangK. K. H. Ng","2017","http://link.springer.com/article/10.1007/s40436-017-0197-2","Article"
"A Case Study on Measuring the Size of Microservices","Computational Science and Its Applications – ICCSA 2018","","","","10.1007/978-3-319-95174-4_36","Hulya VuralMurat KoyuncuSanjay Misra","2018","http://link.springer.com/chapter/10.1007/978-3-319-95174-4_36","Chapter"
"A Framework for Modelling Variable Microservices as Software Product Lines","Software Engineering and Formal Methods","","","","10.1007/978-3-319-74781-1_18","Moh. Afifun NailyMaya Retno Ayu SetyautamiRadu MuscheviciAde Azurat","2018","http://link.springer.com/chapter/10.1007/978-3-319-74781-1_18","Chapter"
"Microservices Architecture with GCP","Pro DevOps with Google Cloud Platform","","","","10.1007/978-1-4842-3897-4_6","Pierluigi Riti","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3897-4_6","Chapter"
"Genetic Algorithm for Multi-Objective Optimization of Container Allocation in Cloud Architecture","Journal of Grid Computing","","16","1","10.1007/s10723-017-9419-x","Carlos GuerreroIsaac LeraCarlos Juiz","2018","http://link.springer.com/article/10.1007/s10723-017-9419-x","Article"
"Integrating Personalized and Accessible Itineraries in MaaS Ecosystems Through Microservices","Mobile Networks and Applications","","23","1","10.1007/s11036-017-0831-z","Andrea MelisSilvia MirriCatia PrandiMarco PrandiniPaola SalomoniFranco Callegati","2018","http://link.springer.com/article/10.1007/s11036-017-0831-z","Article"
"Spring Microservices with Spring Cloud","Pivotal Certified Professional Spring Developer Exam","","","","10.1007/978-1-4842-0811-3_8","Iuliana Cosmina","2017","http://link.springer.com/chapter/10.1007/978-1-4842-0811-3_8","Chapter"
"Emerginov: How Free Software Can Boost Local Innovation, a Win-Win Deal between Operator and Local Innovation Partners","E-Infrastuctures and E-Services for Developing Countries","","","","10.1007/978-3-642-23828-4_13","Morgan RichommeGeerish SuddulRai BasgeetAvinash Soobul","2011","http://link.springer.com/chapter/10.1007/978-3-642-23828-4_13","Chapter"
"Algorithm for Building Recommendations for Intelligent Systems","Proceedings of the Second International Scientific Conference “Intelligent Information Technologies for Industry” (IITI’17)","","","","10.1007/978-3-319-68324-9_9","S. B. KartievV. M. Kureychick","2018","http://link.springer.com/chapter/10.1007/978-3-319-68324-9_9","Chapter"
"Enabling Process Variants and Versions in Distributed Object-Aware Process Management Systems","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_1","Kevin AndrewsSebastian SteinauManfred Reichert","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_1","Chapter"
"Organizational Impact on Software Development of eServices Techniques","Exploring Services Science","","","","10.1007/978-3-319-56925-3_6","Maurizio CavallariFrancesco TornieriMarco De Marco","2017","http://link.springer.com/chapter/10.1007/978-3-319-56925-3_6","Chapter"
"Towards a Semantic Infrastructure for User Generated Mobile Services","The Semantic Web: Research and Applications","","","","10.1007/978-3-642-02121-3_83","Marcin Davies","2009","http://link.springer.com/chapter/10.1007/978-3-642-02121-3_83","Chapter"
"Microservices Identification Through Interface Analysis","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-67262-5_2","Luciano BaresiMartin GarrigaAlan De Renzis","2017","http://link.springer.com/chapter/10.1007/978-3-319-67262-5_2","Chapter"
"DataSynapse: A Social Data Curation Foundry","Distributed and Parallel Databases","","","","10.1007/s10619-018-7245-1","Amin BeheshtiBoualem BenatallahAlireza TabebordbarHamid Reza Motahari-NezhadMoshe Chai BarukhReza Nouri","2018","http://link.springer.com/article/10.1007/s10619-018-7245-1","Article"
"Microservices Science and Engineering","Proceedings of 5th International Conference in Software Engineering for Defence Applications","","","","10.1007/978-3-319-70578-1_2","Manuel MazzaraKevin KhandaRuslan MustafinVictor RiveraLarisa SafinaAlberto Sillitti","2018","http://link.springer.com/chapter/10.1007/978-3-319-70578-1_2","Chapter"
"A Methodology and Tool Support for Widget-Based Web Application Development","Engineering the Web in the Big Data Era","","","","10.1007/978-3-319-19890-3_33","Petru NicolaescuRalf Klamma","2015","http://link.springer.com/chapter/10.1007/978-3-319-19890-3_33","Chapter"
"Information Systems Architecture and Organization in the Era of MicroServices","Network, Smart and Open","","","","10.1007/978-3-319-62636-9_11","Maurizio CavallariFrancesco Tornieri","2018","http://link.springer.com/chapter/10.1007/978-3-319-62636-9_11","Chapter"
"An Authoring Tool for User Generated Mobile Services","Future Internet - FIS 2010","","","","10.1007/978-3-642-15877-3_13","José DanadoMarcin DaviesPaulo RiccaAnna Fensel","2010","http://link.springer.com/chapter/10.1007/978-3-642-15877-3_13","Chapter"
"Microservices tenets","Computer Science - Research and Development","","32","3 - 4","10.1007/s00450-016-0337-0","Olaf Zimmermann","2017","http://link.springer.com/article/10.1007/s00450-016-0337-0","Article"
