Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
Migrating Monolithic Mobile Application to Microservice Architecture: An Experiment Report,C. Fan; S. Ma,NA; NA,2017 IEEE International Conference on AI & Mobile Services (AIMS),,2017,,,109,112,,,,10.1109/AIMS.2017.23,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8027278,microservice;microservice architecture;migration;software development life cycle,Computer architecture;Databases;Software systems;Tools;Automation;Mobile applications,cloud computing;mobile computing;service-oriented architecture;software development management,monolithic mobile application;microservice architecture;MSA;cloud software system;self-contained service components;complex software systems;DevOps techniques;SDLC-driven methods;software development life cycle;EasyLearn;migration process;development teams,,,,,,,,,IEEE,IEEE Conferences,
Microservices,X. Larrucea; I. Santamaria; R. Colomo-Palacios; C. Ebert,Tecnalia; Tecnalia; &#xD8;stfold University College; Vector Consulting Services,IEEE Software,,2018,35,3,96,100,,,,10.1109/MS.2018.2141030,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354423,microservices;Cross-Origin Resource Sharing;CORS;software development;software engineering;Software Technology,Software development;Service computing;Computer architecture;Browsers;Java,service-oriented architecture;Web services,agile delivery mechanisms;function-oriented legacy architectures;microservice technologies;flexible service orientation;service-oriented architecture,,,,,,,,,IEEE,IEEE Journals & Magazines,
The Design and Architecture of Microservices,A. Sill,Texas Tech University,IEEE Cloud Computing,,2016,3,5,76,80,,,,10.1109/MCC.2016.111,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742259,cloud;standards;design;architecture;automation;data;containers;networks;microservices,Design methdology;Cloud computing;Computer architecture;Standards development;Computer architecture;Service computing;Storage automation,cloud computing;software architecture;standards,microservices;cloud design architectures;historical standards,,,,,,,,,IEEE,IEEE Journals & Magazines,
Developing statistical business register service system based on microservice architecture,D. B. Cahyono; Suhardi; N. B. Kurniawan,School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia; School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia; School of Electrical Engineering and Informatics; Institut Teknologi Bandung; Bandung; Indonesia,2018 International Conference on Information and Communications Technology (ICOIACT),,2018,,,500,505,,,,10.1109/ICOIACT.2018.8350712,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8350712,statistical business register;service system;microservice architecture;SOA,Information and communication technology;Conferences;Business;Analytical models;Registers;Service-oriented architecture;Functional analysis,business data processing;data integration;data integrity;database management systems;innovation management;service-oriented architecture;systems engineering,Service System Engineering Methodology;microservice architecture;data integrity;data integration;automated process;statistical business register service system;enterprise directory;statistical activity;automated data update mechanism;silo database;service improvement;service innovation;business model;service model;business process;systematic engineering process;SBR service system,,,,,,,,,IEEE,IEEE Conferences,
Understanding Quality Attributes in Microservice Architecture,S. Li,NA,2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW),,2017,,,9,10,,,,10.1109/APSECW.2017.33,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312516,microservices;monolith;quality attributes;systematic literature review,Computer architecture;Systematics;Software engineering;IEEE Press;Conferences;Software;Bibliographies,software architecture;software quality,explanatory survey;exploratory case study;SLR;systematic literature review;small-scale microservice;monolithic architecture;microservice architecture;quality attributes,,,,,,,,,IEEE,IEEE Conferences,
A Shortest-Response-Time Assured Microservices Selection Framework,X. Liu; S. Jiang; X. Zhao; Y. Jin,NA; NA; NA; NA,2017 IEEE International Symposium on Parallel and Distributed Processing with Applications and 2017 IEEE International Conference on Ubiquitous Computing and Communications (ISPA/IUCC),,2017,,,1266,1268,,,,10.1109/ISPA/IUCC.2017.00192,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367422,Microservices;service selection;shortest response time,Time factors;Routing;Heuristic algorithms;Synchronization;Web services;Time complexity;Bandwidth,computational complexity;program testing;quality of service;Web services,service response time;service invocation path;DMSF;distributed routing algorithm;time complexity;quality parameters;Web service;shortest-response-time assured microservice selection framework;distributed microservice selection algorithm,,,,,,,,,IEEE,IEEE Conferences,
Microservices Architecture in DevOps,M. Waseem; P. Liang,NA; NA,2017 24th Asia-Pacific Software Engineering Conference Workshops (APSECW),,2017,,,13,14,,,,10.1109/APSECW.2017.18,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8312518,Microservices Architecture;DevOps;Systematic Mapping Study,Systematics;Computer architecture;Software engineering;Conferences;Architecture;Market research,software architecture;software development management;software maintenance;software prototyping,DevOps;microservices architecture;MSA;software engineering paradigms,,,,,,,,,IEEE,IEEE Conferences,
A Microservices-Based Platform for Efficiently Managing Oceanographic Data,A. Galletta; L. Carnevale; A. Buzachis; A. Celesti; M. Villari,NA; NA; NA; NA; NA,2018 4th International Conference on Big Data Innovations and Applications (Innovate-Data),,2018,,,25,29,,,,10.1109/Innovate-Data.2018.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8500066,Oceanography; Acidification; Big Data; Big Data Visualization; microservices; IoT; geolocation,Data visualization;Oceans;Big Data;Image color analysis;Sea measurements;Databases;Bandwidth,,,,,,,,,,,IEEE,IEEE Conferences,
Automation of regression test in microservice architecture,M. J. Kargar; A. Hanifizade,Department of Computer Engineering; University of science and Culture; Tehran; Iran; Department of Computer Engineering; University of science and Culture; Tehran; Iran,2018 4th International Conference on Web Research (ICWR),,2018,,,133,137,,,,10.1109/ICWR.2018.8387249,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387249,microservice;regression test;continuous delivery;DevOps,Computer architecture;Production;Software;Tools;Java;Software reliability;Measurement,cloud computing;program testing;regression analysis;software reliability,regression test;microservice architecture;Continuous Delivery;Cloud Computing;Agile methods;microservice dependencies;Software Test;software reliability,,,,,,,,,IEEE,IEEE Conferences,
Development of IT Helpdesk with Microservices,R. Wongsakthawom; Y. Limpiyakorn,Department of Computer Engineering; Chulalongkorn University; Bangkok; 10330; Thailand; Department of Computer Engineering; Chulalongkorn University; Bangkok; 10330; Thailand,2018 8th International Conference on Electronics Information and Emergency Communication (ICEIEC),,2018,,,31,34,,,,10.1109/ICEIEC.2018.8473557,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473557,IT helpdesk;microservices;scalability;process improvement,Databases;Thesauri;Logic gates;Organizations;Scalability;Hardware,business data processing;customer satisfaction;formal specification;service-oriented architecture;thesauri,IT helpdesk;microservices;business growth;organizations;process improvement;customer satisfaction;service requests;teams;trouble shooting;microservice architecture;scalability;classification service;request subjects,,,,,,,,,IEEE,IEEE Conferences,
ICN-based service discovery mechanism for microservice architecture,K. B. Long; H. Yang; Y. Kim,Soongsil Universitym Seoul; Korea; Soongsil Universitym Seoul; Korea; Soongsil Universitym Seoul; Korea,2017 Ninth International Conference on Ubiquitous and Future Networks (ICUFN),,2017,,,773,775,,,,10.1109/ICUFN.2017.7993899,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7993899,Microservice architecture;service discovery;information-centric network,Computer architecture;Servers;Routing;Scalability;Software;Internet;Architecture,computer networks;Internet;service-oriented architecture,ICN-based service discovery mechanism;microservice architecture;MSA;application system development;application performance;service location aqcuisition;information-centric service discovery;ISD mechanism;information-centric networking;ICN concept,,,,,,,,,IEEE,IEEE Conferences,
Securing IoT microservices with certificates,M. Pahl; L. Donini,Technical University of Munich; Technical University of Munich,NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium,,2018,,,1,5,,,,10.1109/NOMS.2018.8406189,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406189,IoT;security;certificates;x.509;microservices;autonomous certificate management;unattended nodes,Metadata;Authentication;Public key;Internet of Things;Smart phones;Computer architecture,certification;data privacy;distributed processing;Internet of Things,suitable security mechanisms;fundamental open challenges;authentication;metadata;correct functioning;distributed entities;different authorities;authenticating services;extended attributes;service executables;different trust anchors;entire life cycle;security properties;certificate properties;distributed IoT nodes;autonomous certificate management process;diverse distributed systems;IoT microservices;distributed computing nodes;processor power;IoT services;security critical data;privacy,,,,,,,,,IEEE,IEEE Conferences,
An architecture and implementation of automatic network slicing for microservices,Y. Minami; A. Taniguchi; T. Kawabata; N. Sakaida; K. Shimano,Network Innovation Laboratories; NTT Corporation Kanagawa 239-0847; Japan; Network Innovation Laboratories; NTT Corporation Kanagawa 239-0847; Japan; Network Innovation Laboratories; NTT Corporation Kanagawa 239-0847; Japan; Network Innovation Laboratories; NTT Corporation Kanagawa 239-0847; Japan; Network Innovation Laboratories; NTT Corporation Kanagawa 239-0847; Japan,NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium,,2018,,,1,4,,,,10.1109/NOMS.2018.8406193,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406193,,Network slicing;Computer architecture;Topology;Security;Containers;Streaming media,computer networks;virtualisation,service providers;automatic network slicing;general automatic network;virtual network functions;request slice construction;slice providers;service-specific slice;logical network resources;multiple isolated logical infrastructures;optimized logical infrastructure;service development methods,,,,,,,,,IEEE,IEEE Conferences,
Object-Aware Identification of Microservices,M. J. Amiri,NA,2018 IEEE International Conference on Services Computing (SCC),,2018,,,253,256,,,,10.1109/SCC.2018.00042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456428,Microservice;Identification;Business Process;Clustering,Logic gates;Computer architecture;Task analysis;Object recognition;Companies;Estimation,business data processing;service-oriented architecture,microservice identification method;structural dependency;object-aware identification;architectural style;service-oriented computing;cohesive coupled components;loosely coupled components;business capabilities;microservice architectures;system designers;clustering technique;business processes;data object dependency,,,,,,,,,IEEE,IEEE Conferences,
Practical Use of Microservices in Moving Workloads to the Cloud,D. S. Linthicum,Cloud Technology Partners,IEEE Cloud Computing,,2016,3,5,6,9,,,,10.1109/MCC.2016.114,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742277,cloud computing;microservices;service-oriented architecture;containers;Cloud Tidbits,Cloud computing;Information storage;Computer architecture;Computer security;Service-oriented architecture;Complexity theory;Information management,cloud computing;service-oriented architecture,microservices;moving workloads;cloud;enterprises;service oriented applications;monolithic application,,,,,,,,,IEEE,IEEE Journals & Magazines,
Challenges in Delivering Software in the Cloud as Microservices,C. Esposito; A. Castiglione; K. R. Choo,University of Naples &#x0022;Federico II&#x0022;; University of Salerno; University of Texas at San Antonio,IEEE Cloud Computing,,2016,3,5,10,14,,,,10.1109/MCC.2016.105,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742281,cloud computing;microservices;cloud infrastructure;security;trustworthiness,Cloud computing;Computer security;Computer architecture;Trust management;Law;Data mining;Service-oriented systems enginee;Service computing,cloud computing;security of data;service-oriented architecture;trusted computing,service-oriented software design;microservice architecture;application complexity;security vulnerabilities;trustworthiness;cloud,,,,,,,,,IEEE,IEEE Journals & Magazines,
Poster: Benchmarking Microservice Systems for Software Engineering Research,X. Zhou; X. Peng; T. Xie; J. Sun; C. Xu; C. Ji; W. Zhao,NA; NA; NA; NA; NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),,2018,,,323,324,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449560,Microservice;benchmark;tracing;visualization;debugging;failure diagnosis,Benchmark testing;Synchronization;Software engineering;Debugging;Business;Computer science,,,,,,,,,,,IEEE,IEEE Conferences,
Microservices model in WoO based IoT platform for depressive disorder assistance,S. Ali; M. G. Kibria; M. A. Jarwar; S. Kumar; I. Chong,Department of ICE; Hankuk University of Foreign Studies; Yongin-si; Rep. of Korea; Department of ICE; Hankuk University of Foreign Studies; Yongin-si; Rep. of Korea; Department of ICE; Hankuk University of Foreign Studies; Yongin-si; Rep. of Korea; Department of ICE; Hankuk University of Foreign Studies; Yongin-si; Rep. of Korea; Department of ICE; Hankuk University of Foreign Studies; Yongin-si; Rep. of Korea,2017 International Conference on Information and Communication Technology Convergence (ICTC),,2017,,,864,866,,,,10.1109/ICTC.2017.8190800,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190800,Internet of Things;Web of Objects;Semantic Ontology;Recommendation micorservices,Semantics;Ontologies;Internet of Things;Medical services;Sensors;History;Feeds,assisted living;Internet of Things,Microservices model;depressive disorder assistance;Internet of Things;human assistance technologies;IoT devices;WoO based IoT platform;Web of Objects platform,,,,,,,,,IEEE,IEEE Conferences,
Microservice Based Video Cloud Platform with Performance-Aware Service Path Selection,H. Zhang; N. Yang; Z. Xu; B. Tang; H. Ma,NA; NA; NA; NA; NA,2018 IEEE International Conference on Web Services (ICWS),,2018,,,306,309,,,,10.1109/ICWS.2018.00048,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456365,Microservice; service path selection; cloud computing; video processing,Cloud computing;Task analysis;Pipelines;Silicon;Mathematical model;Data models;Predictive models,cloud computing;video signal processing,microservice based video cloud platform;Performance-aware Service PAth Selection approach;video processing tasks;fine-grained time estimation model;video cloud computing platform;current service selection methods;large-scale intelligent video applications;microservice based cloud architecture,,,,,,,,,IEEE,IEEE Conferences,
Using microservices in educational applications of IT-company,Y. Berkunskyi; K. Knyrik; T. Farionova; T. Smykodub,Dept. of Information Control Systems and Technologies; Admiral Makarov National University of Shipbuilding; Mykolaiv; Ukraine; Dept. of Information Control Systems and Technologies; Admiral Makarov National University of Shipbuilding; Mykolaiv; Ukraine; Department of Software of Automated Systems; Admiral Makarov National University of Shipbuilding; Mykolaiv; Ukraine; Department of Software of Automated Systems; Admiral Makarov National University of Shipbuilding; Mykolaiv; Ukraine,2017 IEEE First Ukraine Conference on Electrical and Computer Engineering (UKRCON),,2017,,,1208,1211,,,,10.1109/UKRCON.2017.8100443,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8100443,microservices;educational application;modularity;database;distance learning system,Computer architecture;Databases;Companies;Training;Libraries;Service-oriented architecture;Conferences,computer aided instruction;teaching,educational applications;educational systems;IT-companies;network space;teaching;microservice architecture,,,,,,,,,IEEE,IEEE Conferences,
Building Critical Applications Using Microservices,C. Fetzer,Technische Universit&#x00E4;t Dresden,IEEE Security & Privacy,,2016,14,6,86,89,,,,10.1109/MSP.2016.129,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7782696,security;secure enclaves;Linux;microservices;software;hardware,Containers;Linux;Buildings;Kernel;Security,trusted computing,critical applications;critical software correctness;microservice-based system;trustworthy systems;legacy hardware;software components;microservice integrity;microservice confidentiality;secure enclaves,,,,,,,,,IEEE,IEEE Journals & Magazines,
Poster: Exploration of Academic and Industrial Evidence about Architectural Tactics and Patterns in Microservices,F. Osses; G. Márquez; H. Astudillo,NA; NA; NA,2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),,2018,,,256,257,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449527,Architectural patterns;architectural tactics;microservices;taxonomy;systematic literature review;academy;industry,Industries;Taxonomy;Computer architecture;Software architecture;Systematics;Software,,,,,,,,,,,IEEE,IEEE Conferences,
Demo: Diligent — An OSN Data Integration System Based on Reactive Microservices,A. Tsilingiris; I. Dimitriadis; A. Vakali; G. Andreadis,NA; NA; NA; NA,2018 IEEE International Conference on Smart Computing (SMARTCOMP),,2018,,,285,287,,,,10.1109/SMARTCOMP.2018.00059,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421373,data integration;data stream;social media data;data integration system;online social network;spring boot;databases;microservices;reactive,Data integration;Social network services;Hardware;Pipelines;Task analysis;Distributed databases,data analysis;data integration;social networking (online),Diligent;online social network data processing systems;OSN data integration system;reactive microservices;data analysis;hardware utilization margins;blocking I-O clients;reactive I-O clients,,,,,,,,,IEEE,IEEE Conferences,
Quality of Service Models for Microservices and Their Integration into the SWITCH IDE,P. Štefanic; M. Cigale; A. Jones; V. Stankovski,NA; NA; NA; NA,2017 IEEE 2nd International Workshops on Foundations and Applications of Self* Systems (FAS*W),,2017,,,215,218,,,,10.1109/FAS-W.2017.150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8064126,Cloud computing;microservices;software engineering;QoS model,Software;Quality of service;Measurement;Switches;Monitoring;Computational modeling;Metadata,cloud computing;decision making;formal specification;formal verification;meta data;object-oriented programming;quality of service;software engineering,microservices;SWITCH IDE;NonFunctional Requirements;quality constraints;Qualitative Metadata Markers;QoS modeling;quality of service models;component-based software engineering tools;software workbench for interactive time critical and highly adaptive cloud applications;interactive development environments;cloud computing,,,,,,,,,IEEE,IEEE Conferences,
Research on the Construction of Resource Sharing Platform Based on MicroService,W. Xiaojun; S. Xu; H. Zhe; L. Huijuan,NA; NA; NA; NA,2017 International Conference on Smart Grid and Electrical Automation (ICSGEA),,2017,,,713,717,,,,10.1109/ICSGEA.2017.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8104486,Microservice;Resource Sharing Platform;Cloud Computing;Big Data,Cloud computing;Education;Distributed databases;Transcoding;Big Data;Business,Big Data;cloud computing;computer aided instruction;teaching,MicroService;Internet technology;cloud computing;big data;lifelong educational resources platform;Jiangsu;lifelong education system;high quality resources platform;education teaching;resource sharing platform,,,,,,,,,IEEE,IEEE Conferences,
Modelling microservices in email-marketing concepts; implementation and experiences,M. E. Brüggemann; R. Vallon; A. Parlak; T. Grechenig,Research Group for Industrial Software; Vienna University of Technology; Wiedner Hauptstr. 76; 1040; Austria; Research Group for Industrial Software; Vienna University of Technology; Wiedner Hauptstr. 76; 1040; Austria; Research Group for Industrial Software; Vienna University of Technology; Wiedner Hauptstr. 76; 1040; Austria; Research Group for Industrial Software; Vienna University of Technology; Wiedner Hauptstr. 76; 1040; Austria,2014 9th International Conference on Software Paradigm Trends (ICSOFT-PT),,2014,,,67,71,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7292576,MDE;Model-Driven Engineering;Enterprise Modelling;Microservices;Email-Marketing;BPMN,Object oriented modeling;Computer architecture;Business;Software;Context;Biological system modeling;Planning,,,,,,,,,,,IEEE,IEEE Conferences,
AI Bricks: A Microservices-Based Software for a Usage in the Cloud Robotics,P. Sabol; P. Sincak,Department of Cybernetics and Artificial Intelligence; Technical University of Kosice; Kosice; Slovakia; Department of Cybernetics and Artificial Intelligence; Technical University of Kosice; Kosice; Slovakia,2018 World Symposium on Digital Intelligence for Systems and Machines (DISA),,2018,,,207,212,,,,10.1109/DISA.2018.8490532,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8490532,AI Bricks;Cloud Robotics;Cloud Computing;Kohonen;MLP;Microservices,Cloud computing;Robot sensing systems;Neural networks;Software;Knowledge based systems,,,,,,,,,,,IEEE,IEEE Conferences,
Microservice Architectures for Scalability; Agility and Reliability in E-Commerce,W. Hasselbring; G. Steinacker,NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,243,246,,,,10.1109/ICSAW.2017.11,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958496,Microservices;Scalability;Agility;Reliability;E-Commerce,Computer architecture;Scalability;Pipelines;Software;Business;Reliability;Monitoring,electronic commerce;information systems;middleware;software architecture;software quality;software reliability,microservice architectures;scalability;agility;reliability;e-commerce;middleware stacks;vertical decomposition;self contained systems;microservices granularity;automated quality assurance;information system integration,,,,,,,,,IEEE,IEEE Conferences,
Using Microservices for Legacy Software Modernization,H. Knoche; W. Hasselbring,Kiel University; Kiel University,IEEE Software,,2018,35,3,44,49,,,,10.1109/MS.2018.2141035,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354422,microservices;web services;services modernization;software development;software engineering,Databases;Java;Software engineering;Computer architecture;Software development;Service computing;Web services,cloud computing;software maintenance,microservices;legacy software modernization;scalable applications;smaller code bases;migration process;legacy modernization project,,,,,,,,,IEEE,IEEE Journals & Magazines,
